1	-8.033891
2	-7.888745
3	-7.748837
4	-7.613765
5	-7.483176
6	-7.356752
7	-7.234210
9	-6.999770
10	-6.887432
11	-6.778090
12	-6.671569
13	-6.567711
14	-6.466371
15	-6.367413
16	-6.270716
18	-6.083655
20	-5.904374
22	-5.732169
24	-5.566430
26	-5.406623
28	-5.252276
30	-5.102974
32	-4.958347
36	-4.681825
40	-4.420445
44	-4.172357
48	-3.936028
52	-3.710174
56	-3.493709
60	-3.285704
64	-3.085360
72	-2.704960
80	-2.347920
88	-2.010649
96	-1.690283
104	-1.384491
112	-1.091350
120	-0.809245
128	-0.536806
