12	-13.001744
13	-12.744916
14	-12.529886
15	-12.343402
16	-12.196964
18	-11.777683
20	-10.839725
22	-10.627744
24	-10.427371
26	-10.224471
28	-9.907140
30	-9.705850
32	-9.608389
36	-9.227008
40	-8.919027
44	-8.665016
48	-8.384701
52	-8.082839
56	-7.892334
60	-7.690586
64	-7.434013
72	-7.054238
80	-6.603656
88	-6.284483
96	-5.933128
104	-5.666544
112	-5.411741
120	-5.105979
128	-4.862259
144	-4.436155
160	-3.951533
176	-3.561089
192	-3.195855
208	-2.856611
224	-2.552677
240	-2.219600
256	-1.890214
288	-1.345298
320	-0.817701
352	-0.357258
384	0.529649
416	0.938091
448	1.376614
480	1.757750
512	2.094583
576	2.896542
640	3.298745
704	3.943246
768	4.474153
832	5.040484
896	5.740853
960	6.567154
1024	7.481734
